DNA Extractions,,,,,,,,,,,,,,,,
Nonbleached,,,,,,,,,Bleached,,,,,,,
Colony #,Ti/Sept 2017,T2 Oct 2017,T3/Dec,T4/March,T5/June,T6/July,Bundle,,Colony #,Ti/Sept 2017,T2 Oct 2017,T3/Dec,T4/March,T5/June,T6/July,Bundle
10,TiM10NB,T2M10NB,T3M10NB,T4M10NB,T5M10NB,T6M10NB,M10NB Bundle,,10,NA,T2M10B,T3M10B,M10B T4,M10B T5,M10B T6,M10B Bundle
13,TiM13NB,T2M13NB,T3M13NB,M13A T4,M13NB T5,M13NB T6,M13NB Bundle,,13,NA,T2M13B,T3M13B,M13B T4,M13B T5,M13B T6,M13B Bundle
21,TiM21NB,T2M21NB,T3M21NB,,M21NB T5,M21NB T6,M21NB Bundle,,21,NA,T2M21B,T3M21B,,M21B T5,M21B T6,M21B Bundle
26,TiM26NB,T2M26NB,T3M26NB,M26NB T4,M26NB T5,M26NB T6,M26NB Bundle,,26,NA,T2M26B,T3M26B,M26B T4,M26B T5,M26B T6,M26B Bundle
32,TiM32NB,T2M32NB,T3M32NB,M32NB T4,M32NB T5,M32NB T6,M32NB Bundle,,32,NA,T2M32B,T3M32B,M32B T4,M32B T5,M32B T6,M32B Bundle
41,,T2M41NB,T3M41NB,M41NB T4,M41NB T5,M41NB T6,M41NB Bundle,,41,NA,,T3M41B,M41B T4,M41B T5,M41B T6,M41B Bundle
65,TiM65NB,T2M65NB,T3M65NB,M65NB T4,M65NB T5,,M65NB Bundle,,65,NA,T2M65B,T3M65B,M65B T4,M65B T5,M65B T6,M65B Bundle
66,TiM66NB,T2M66NB,T3M66NB,M66NB T4,M66NB T5,M66NB T6,M66NB Bundle,,66,NA,T2M66B,T3M66B,,M66B T5,M66B T6,M66B Bundle
69,TiM69NB,T2M69NB,T3M69NB,M69NB T4,M69NB T5,M69NB T6,M69NB Bundle,,69,NA,T2M69B,T3M69B,M69B T4,,,M69B Bundle
74,TiM74NB,T2M74NB,T3M74NB,M74A T4,M74NB T5,M74NB T6,M74NB Bundle,,74,NA,T2M74B,T3M74B,M74B T4,M74B T5,M74B T6,M74B Bundle
5,TiM5NB,T2M5NB,,,,,,,5,NA,T2M5B,,,,,
20,TiM20NB,T2M20NB,,,,,,,20,NA,T2M20B,,,,,
25,TiM25NB,T2M25NB,,,,,,,25,NA,T2M25B,,,,,
28,TiM28NB,T2M28NB,,,,,,,28,NA,T2M28B,,,,,
55,TiM55NB,T2M55NB,,,,,,,55,NA,T2M55B,,,,,
73,TiM73NB,T2M73NB,,,,,,,73,NA,T2M73B,,,,,
